date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2024-03-03 13:00:00 MST",1709496000,88.19,101.65,N,0,17,33,64,-22.1,-16.8,-26,,24100,,,8,,,-16.8,-18
"2024-03-03 12:00:00 MST",1709492400,88.21,101.68,NNE,2,19,37,67,-22.7,-18.1,-28,,24100,2.2,,8,,,-17.8,-18.4
"2024-03-03 11:00:00 MST",1709488800,88.22,101.68,N,1,24,39,68,-22.5,-18.1,-29,,24100,2.3,,8,,,-18.1,-18.8
"2024-03-03 10:00:00 MST",1709485200,88.13,101.58,N,35,27,37,68,-22.8,-18.4,-30,,9700,2.4,,8,,,-18.3,-19
"2024-03-03 09:00:00 MST",1709481600,88.09,101.53,N,36,24,39,71,-23,-19.1,-30,,8100,2.7,,8,,,-19,-19.2
"2024-03-03 08:00:00 MST",1709478000,88.08,101.52,N,1,19,,73,-22.9,-19.2,-29,,4800,2.9,,8,,,-19.2,-19.8
"2024-03-03 07:00:00 MST",1709474400,88.02,101.46,N,36,18,,74,-23.2,-19.8,-30,,9700,2.9,,8,,,-19.7,-21.1
"2024-03-03 06:00:00 MST",1709470800,88.02,101.46,N,35,9,,80,-23.7,-21.1,-28,,16100,2.8,,7,,,-21.1,-24.8
"2024-03-03 05:00:00 MST",1709467200,87.99,101.47,NE,5,6,,76,-27.9,-24.9,-31,,16100,2.8,,4,,,-22.8,-24.9
"2024-03-03 04:00:00 MST",1709463600,87.96,101.41,N,35,7,,79,-26,-23.3,-29,,16100,2.7,,4,,,-22.1,-23.5
"2024-03-03 03:00:00 MST",1709460000,88,101.45,NW,31,10,,80,-25,-22.5,-30,,16100,2.7,,4,,,-22.4,-23.2
"2024-03-03 02:00:00 MST",1709456400,88.04,101.5,NNW,35,8,,81,-24.8,-22.4,-29,,12900,2.6,,6,,,-21.8,-22.6
"2024-03-03 01:00:00 MST",1709452800,87.97,101.41,NNW,35,9,,80,-24.3,-21.8,-29,,12900,2.5,,4,,,-21.2,-21.8
"2024-03-03 00:00:00 MST",1709449200,87.95,101.37,NNW,34,10,,79,-23.9,-21.2,-29,,12900,2.5,,6,,,-19.9,-21.2
"2024-03-02 23:00:00 MST",1709445600,87.97,101.38,N,1,18,,80,-22.7,-20.1,-30,,12900,2.6,,7,,,-19.8,-20.3
"2024-03-02 22:00:00 MST",1709442000,87.97,101.37,NNW,34,13,,80,-22.4,-19.8,-28,,9700,2.6,,8,,,-19.4,-19.8
